# BEAST v10.5.0
# Generated Wed May 20 15:37:16 CEST 2026 [seed=1779284235057]
# -beagle -overwrite X_dist_04.xml
state	joint	prior	likelihood	rootHeight	treeLength	tmrca(untitled0)	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
69000	-10886.24838916405	4.009595856049223	-10890.257985020098	0.1667751015058909	0.3960299782978876	0.1667751015058909	0.05539903151314854	3.135110636360039	0.3405558555974009	1.0	1.0	-10890.257985020098	0.0	10.31266200890534
70000	-10889.508900635097	2.785153966828366	-10892.294054601925	0.18148873213741312	0.4280109650373232	0.18148873213741312	0.09214935632719609	3.7784807161240628	0.34325920668440985	1.0	1.0	-10892.294054601925	0.0	9.816852794572029
71000	-10888.684479736925	3.21585235032538	-10891.90033208725	0.17856003903753578	0.4227470561555901	0.17856003903753578	0.04639725424404119	3.6674831012806233	0.32936797583800986	1.0	1.0	-10891.90033208725	0.0	9.498422542798851
72000	-10886.427750407225	2.107612375668321	-10888.535362782894	0.17701017486786794	0.41646342316585866	0.17701017486786794	0.12790179099389057	3.219793249090803	0.2838157079243279	1.0	1.0	-10888.535362782894	0.0	9.162448167237015
73000	-10885.928207997957	3.447591245369508	-10889.375799243326	0.20278008979029444	0.46918749186758385	0.20278008979029444	0.06049091761032543	3.203013942865953	0.2684077426416195	1.0	1.0	-10889.375799243326	0.0	9.717740607062886
74000	-10885.750606405752	3.5234495597350746	-10889.274055965487	0.17241409768888724	0.4075280518296301	0.17241409768888724	0.07961719001893526	2.868573241893402	0.3872345298334222	1.0	1.0	-10889.274055965487	0.0	10.187766559618023
75000	-10886.981211191322	3.633481279949093	-10890.61469247127	0.16004776820127473	0.378328565416481	0.16004776820127473	0.03508163179248259	2.986249178251053	0.40663571002965926	1.0	1.0	-10890.61469247127	0.0	9.559928563755214
76000	-10887.999475197827	3.136653307362801	-10891.13612850519	0.16170208530804947	0.3872015675745151	0.16170208530804947	0.09294476654982663	3.195372948972753	0.3907669765485267	1.0	1.0	-10891.13612850519	0.0	10.077998838420028
77000	-10884.8088931898	3.8766004235459643	-10888.685493613346	0.17983869356058604	0.42124385860659536	0.17983869356058604	0.05958533651438649	2.958700871634905	0.33321981882557905	1.0	1.0	-10888.685493613346	0.0	10.175644482397916
78000	-10886.009328723068	3.540737671393302	-10889.550066394462	0.20387797829459034	0.4698013658563724	0.20387797829459034	0.06010704875723476	3.309296091032868	0.2632965237914374	1.0	1.0	-10889.550066394462	0.0	9.83071689865129
79000	-10886.233527613982	3.98148793313229	-10890.215015547114	0.16493296078761618	0.39483727157568554	0.16493296078761618	0.05804132116699818	2.9726342051318095	0.319585635413452	1.0	1.0	-10890.215015547114	0.0	10.231994130044447
80000	-10888.211374021768	2.008295355444716	-10890.219669377213	0.17492416921649884	0.4160445192447715	0.17492416921649884	0.0320747721638818	2.9915926802099024	0.35002387230269516	1.0	1.0	-10890.219669377213	0.0	7.733894055155222
81000	-10883.761702870885	3.2797310285921295	-10887.041433899476	0.19867763889307122	0.4600622905255618	0.19867763889307122	0.07582865369553828	3.2300584252263254	0.30979189696790704	1.0	1.0	-10887.041433899476	0.0	9.867734684409323
82000	-10886.982655050944	3.506490825962759	-10890.489145876907	0.17062615888817065	0.39824716943146693	0.17062615888817065	0.03544838711459513	3.3094785504006325	0.37543878422707544	1.0	1.0	-10890.489145876907	0.0	9.493270677587606
83000	-10887.459739270007	3.272559893702775	-10890.73229916371	0.17843234675131606	0.42238254646690754	0.17843234675131606	0.0554053423930328	3.7258408211303338	0.38360254457378773	1.0	1.0	-10890.73229916371	0.0	9.85975931091172
84000	-10889.45734164024	3.0411241199638095	-10892.498465760204	0.18995239351944918	0.45050238265102266	0.18995239351944918	0.06018156307186952	3.0821120811087077	0.3782160136284622	1.0	1.0	-10892.498465760204	0.0	9.483723459653257
85000	-10886.020002647474	3.0271197945003827	-10889.047122441974	0.18305110861049084	0.42889841451375754	0.18305110861049084	0.08678770319752686	3.6738539123478255	0.33089694492623284	1.0	1.0	-10889.047122441974	0.0	9.940456002755031
86000	-10887.288605832664	2.916117760791682	-10890.204723593455	0.19877493866601553	0.4633591251368439	0.19877493866601553	0.07846121877519241	3.7227160388167477	0.2943171449656022	1.0	1.0	-10890.204723593455	0.0	9.67134184774547
87000	-10886.121775094562	1.9307858405626854	-10888.052560935124	0.17342254946440824	0.4045711485042645	0.17342254946440824	0.026685110751119626	3.102925207839008	0.34063979479375606	1.0	1.0	-10888.052560935124	0.0	7.493037960061828
88000	-10890.350321347372	3.0467172454024034	-10893.397038592775	0.1867356311120536	0.43753633127258745	0.1867356311120536	0.03910885329349363	3.1201895312958676	0.3250528958582184	1.0	1.0	-10893.397038592775	0.0	8.965697132857478
89000	-10886.3208245551	2.0942943927252173	-10888.415118947825	0.19684720907136977	0.4527489877108817	0.19684720907136977	0.12593953462986146	3.3134418110166153	0.2929133197177984	1.0	1.0	-10888.415118947825	0.0	9.1839182621762
90000	-10886.451726071331	2.7404520357349424	-10889.192178107065	0.18570918271233336	0.43623492430038974	0.18570918271233336	0.039291459043445866	3.691065393564664	0.2676693524225843	1.0	1.0	-10889.192178107065	0.0	8.741202258312654
91000	-10888.903765772993	3.851733666470471	-10892.755499439463	0.17873625010443414	0.4099915162062296	0.17873625010443414	0.08271410763365862	3.335793307927394	0.27724375317895783	1.0	1.0	-10892.755499439463	0.0	10.497573265367237
92000	-10886.852884659667	2.0971146884165446	-10888.949999348084	0.17652902088403638	0.41336413261423166	0.17652902088403638	0.131994017723326	3.129288955341343	0.2851289251844268	1.0	1.0	-10888.949999348084	0.0	9.154702614484224
